,ID,PESQUISADOR,CATEGORIA_BOLSA
0,5731994034130179,Maria Tereza Cartaxo Muniz,Produtividade em Pesquisa
1,6188875235262429,Antonio Carlos de Barros Correa,Produtividade em Pesquisa
2,5220518797580348,Marcos Antonio de Morais Junior,Produtividade em Pesquisa
3,5055727404635243,Patricia Takako Endo,Produtividade em Pesquisa
4,4011800687498916,Mauro Virgilio Gomes de Barros,Produtividade em Pesquisa
5,7825961478944459,Paulo Milet-Pinheiro,Produtividade em Pesquisa
6,5085789122224889,Nathalia Bezerra de Lima,Produtividade em Pesquisa
7,2200553486822519,Tiago Felipe de Abreu Santos,Produtividade em Pesquisa
8,9745937989094036,Carmelo Jose Albanez Bastos Filho,Produtividade em Pesquisa
9,2072476094919725,Jaime Joaquim da Silva Pereira Cabral,Produtividade em Pesquisa
10,4054463794131432,Manoel Henrique da Nóbrega Marinho,Produtividade em Pesquisa
11,1348666346504103,Geraldo Jorge Barbosa de Moura,Produtividade em Pesquisa
12,1934903225521860,Francisco Madeiro Bernardino Junior,Produtividade em Pesquisa
13,9745937989094036,Carmelo Jose Albanez Bastos Filho,Produtividade em Pesquisa
14,8035260974761693,Sinval Pinto Brandão Filho,Produtividade em Pesquisa
15,1170471698880208,Fábio Sérgio Barbosa da Silva,Produtividade em Pesquisa
16,0744033380471662,Maria Danielly Lima de Oliveira,Produtividade Desen. Tec. e Extensão Inovadora
17,1530363715825171,César Augusto Souza de Andrade,Produtividade Desen. Tec. e Extensão Inovadora
18,5175924818753829,Fernando Buarque de Lima Neto,Produtividade em Pesquisa
19,9745937989094036,Carmelo Jose Albanez Bastos Filho,Produtividade em Pesquisa
20,4942609302112746,Bruno José Torres Fernandes,Produtividade Desen. Tec. e Extensão Inovadora
21,6415897679989114,Lia Giraldo da Silva Augusto,Produtividade em Pesquisa
22,0353730686972092,Luydson Richardson Silva Vasconcelos,Produtividade em Pesquisa
23,1393227099374469,Heitor Costa Lima da Rocha,Produtividade em Pesquisa
24,6562095215127779,Mariana Guenther Soares,Produtividade em Pesquisa
25,1168899390311014,Jean Louis Valentin,Produtividade em Pesquisa
26,7804720022724209,Carlos Eduardo da Costa Campos,Produtividade em Pesquisa
27,2142424336909827,Cláudia Regina Plens,Produtividade em Pesquisa
28,5175924818753829,Fernando Buarque de Lima Neto,Produtividade em Pesquisa
29,9745937989094036,Carmelo Jose Albanez Bastos Filho,Produtividade em Pesquisa
30,9462923096505763,Francisco Antônio Belo,Produtividade Desen. Tec. e Extensão Inovadora
31,5441508721821143,Ricardo Artur Sanguinetti Ferreira,Produtividade em Pesquisa
32,8153478596620105,Ricardo Arraes de Alencar Ximenes,Produtividade em Pesquisa
33,5840732667923853,Antonio Luiz Barbosa Pinheiro,Produtividade em Pesquisa
34,9997804005081978,Belmiro Cavalcanti do Egito Vasconcelos,Produtividade em Pesquisa
35,5581364193525500,Eduardo Piza Pellizzer,Produtividade em Pesquisa
36,9997804005081978,Belmiro Cavalcanti do Egito Vasconcelos,Produtividade em Pesquisa
37,1170471698880208,Fábio Sérgio Barbosa da Silva,Produtividade em Pesquisa
38,9356882101653526,Fábio Rocha Formiga,Produtividade em Pesquisa
39,6293444890871058,Bruno de Melo Carvalho,Produtividade em Pesquisa
40,8006395717703055,Adriana Fontes,Produtividade em Pesquisa
41,0353730686972092,Luydson Richardson Silva Vasconcelos,Produtividade em Pesquisa
42,4054463794131432,Manoel Henrique da Nóbrega Marinho,Produtividade em Pesquisa
43,5719116057125057,Américo Scotti,Produtividade em Pesquisa
44,3473903684822728,Antonio Carlos de Freitas,Produtividade em Pesquisa
45,8298663599011575,Teresinha Gonçalves da Silva,Produtividade em Pesquisa
46,7585947992338412,Durval Muniz de Albuquerque Júnior,Produtividade em Pesquisa
47,0113877782649597,Sirio Possenti,Produtividade em Pesquisa
48,4564237305773815,Diego José Rátiva Millán,Produtividade em Pesquisa
49,9745937989094036,Carmelo Jose Albanez Bastos Filho,Produtividade em Pesquisa
50,7147120255823205,Rita de Cassia de Moura,Produtividade em Pesquisa
51,6152592335669549,Alexandre Magno Andrade Maciel,Produtividade Desen. Tec. e Extensão Inovadora
52,2543299534493653,Byron Leite Dantas Bezerra,Produtividade Desen. Tec. e Extensão Inovadora
53,4610098557429398,Paulo Salgado Gomes de Mattos Neto,Produtividade em Pesquisa
54,6413917211782026,Wellington Pinheiro dos Santos,Produtividade Desen. Tec. e Extensão Inovadora
55,4942609302112746,Bruno José Torres Fernandes,Produtividade Desen. Tec. e Extensão Inovadora
56,1244195230407619,Cleber Zanchettin,Produtividade Desen. Tec. e Extensão Inovadora
57,6415897679989114,Lia Giraldo da Silva Augusto,Produtividade em Pesquisa
58,9745937989094036,Carmelo Jose Albanez Bastos Filho,Produtividade em Pesquisa
59,9572701361201130,Karl Schurster Verissimo de Sousa Leao,Produtividade em Pesquisa
60,2118000536242631,Wagner Luiz do Prado,Produtividade em Pesquisa
61,7585097807348027,Raphael Mendes Ritti Dias,Produtividade em Pesquisa
62,1797280118220965,Romero Marcos Pedrosa Brandão Costa,Produtividade Desen. Tec. e Extensão Inovadora
63,0353730686972092,Luydson Richardson Silva Vasconcelos,Produtividade em Pesquisa
64,5801652590531684,Aparecida Maria Catai,Produtividade em Pesquisa
65,0323573809193832,Emmanuel Gomes Ciolac,Produtividade em Pesquisa
66,8153478596620105,Ricardo Arraes de Alencar Ximenes,Produtividade em Pesquisa
67,7596693172107120,Heloísa Ramos Lacerda de Melo,Produtividade em Pesquisa
68,4626058435026904,Aronita Rosenblatt,Produtividade em Pesquisa
69,0698164500481055,Jaelson Freire Brelaz de Castro,Produtividade em Pesquisa
70,6589137488914452,Keila Aparecida Moreira,Produtividade em Pesquisa
71,7568400311889864,Maria do Carmo Alves de Lima,Produtividade em Pesquisa
72,4011800687498916,Mauro Virgilio Gomes de Barros,Produtividade em Pesquisa
